"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"INO","Inovio Pharmaceuticals, Inc.","4.47","403623853.08","n/a","n/a","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/ino",
"INPX","Inpixon ","0.2732","6381081.5848","n/a","2014","Technology","EDP Services","https://www-qc.nasdaq.com/symbol/inpx",
"INSG","Inseego Corp.","1.69","98500818.52","n/a","n/a","Consumer Durables","Telecommunications Equipment","https://www-qc.nasdaq.com/symbol/insg",
"NSIT","Insight Enterprises, Inc.","37.89","1356168087.27","n/a","1995","Consumer Services","Catalog/Specialty Distribution","https://www-qc.nasdaq.com/symbol/nsit",
"ISIG","Insignia Systems, Inc.","1.2","14297611.2","n/a","1991","Consumer Services","Advertising","https://www-qc.nasdaq.com/symbol/isig",
"INSM","Insmed, Inc.","31.26","2394234941.34","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/insm",
"INSE","Inspired Entertainment, Inc.","9.15","205098137.55","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www-qc.nasdaq.com/symbol/inse",
"IIIN","Insteel Industries, Inc.","29.33","558473879.18","n/a","n/a","Capital Goods","Steel/Iron Ore","https://www-qc.nasdaq.com/symbol/iiin",
"PODD","Insulet Corporation","77.3","4497913538.8","n/a","2007","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/podd",
"INSY","Insys Therapeutics, Inc.","9.04","662782516","n/a","2013","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/insy",
"NTEC","Intec Pharma Ltd.","7.1","185137967","n/a","2015","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/ntec",
"IART","Integra LifeSciences Holdings Corporation","50.47","3960756245.39","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www-qc.nasdaq.com/symbol/iart",
"IDTI","Integrated Device Technology, Inc.","32.6","4330414610.4","n/a","1984","Technology","Semiconductors","https://www-qc.nasdaq.com/symbol/idti",
"IMTE","Integrated Media Technology Limited","5.86","15491560.46","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www-qc.nasdaq.com/symbol/imte",
"INTC","Intel Corporation","43.41","203158800000","n/a","n/a","Technology","Semiconductors","https://www-qc.nasdaq.com/symbol/intc",
"NTLA","Intellia Therapeutics, Inc.","20.92","754915270.72","n/a","2016","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www-qc.nasdaq.com/symbol/ntla",
"IPCI","Intellipharmaceutics International Inc.","0.79","27416566.85","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/ipci",
"IPAR","Inter Parfums, Inc.","47","1465777156","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://www-qc.nasdaq.com/symbol/ipar",
"IBKR","Interactive Brokers Group, Inc.","62.44","25706753115.4","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www-qc.nasdaq.com/symbol/ibkr",
"ICPT","Intercept Pharmaceuticals, Inc.","54.31","1363293910.49","n/a","2012","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/icpt",
"IDCC","InterDigital, Inc.","80.9","2808154201.6","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www-qc.nasdaq.com/symbol/idcc",
"TILE","Interface, Inc.","25.4","1530386144.2","n/a","n/a","Consumer Durables","Home Furnishings","https://www-qc.nasdaq.com/symbol/tile",
"LINK","Interlink Electronics, Inc.","6.35","46586698.8","n/a","n/a","Technology","Computer peripheral equipment","https://www-qc.nasdaq.com/symbol/link",
"IMI","Intermolecular, Inc.","1.38","68392387.38","n/a","2011","Technology","Semiconductors","https://www-qc.nasdaq.com/symbol/imi",
"INAP","Internap Corporation","15.25","79474704","n/a","1999","Technology","Computer Software: Programming, Data Processing","https://www-qc.nasdaq.com/symbol/inap",
"IBOC","International Bancshares Corporation","41.6","2748701072","n/a","n/a","Finance","Major Banks","https://www-qc.nasdaq.com/symbol/iboc",
"ISCA","International Speedway Corporation","40.15","1774192646.05","n/a","1996","Consumer Services","Services-Misc. Amusement & Recreation","https://www-qc.nasdaq.com/symbol/isca",
